j,xj,F(xj),S(xj),|F(xj)-S(xj)|,dF(xj),dS(xj),|dF(xj)-dS(xj)|,ddF(xj),ddS(xj),|ddF(xj)-ddS(xj)|
112,0.2326329449956418,-0.6677997369027205,-0.9510687080761961,0.2832689711734756,-7.126758698462357,-3.2302885419238923,3.8964701565384647,69.19851438756884,66.49616921243793,2.702345175130901
113,0.23472873729289984,-0.6825828602245759,-0.9576926848503567,0.2751098246257808,-6.980145629743461,-3.090298625217271,3.88984700452619,70.70824049268597,67.09523379992835,3.6130066927576223
114,0.23682452959015785,-0.69705541980338,-0.964021956186111,0.26696653638273093,-6.8304006336776855,-2.9490531935626603,3.881347440115025,72.18718140739321,67.6942983874211,4.492883019972112
115,0.23892032188741588,-0.7112109198577515,-0.9700538907849023,0.2588429709271508,-6.6775889130011405,-2.8065522469599844,3.871036666041156,73.63468727245656,68.29336297494156,5.341324297515001
116,0.24101611418467392,-0.7250430026748487,-0.9757858573481729,0.25074285467332424,-6.521777018003652,-2.662795785409201,3.8589812325944512,75.05012203306836,68.89242756244553,6.157694470622829
117,0.24311190648193196,-0.7385454514040427,-0.9812152245773659,0.24266977317332317,-6.363032817303701,-2.517783808910423,3.8452490083932775,76.43286371821638,69.49149214992237,6.9413715682940165
118,0.24520769877919,-0.751712192788727,-0.9863393611739238,0.23462716838519682,-6.201425468044369,-2.3715163174636515,3.8299091505807175,77.78230471386675,70.09055673741828,7.691747976448468
119,0.24730349107644803,-0.7645372998350716,-0.99115563583929,0.22661833600421843,-6.03702538552332,-2.223993311068806,3.813032074454514,79.09785202984123,70.68962132493624,8.408230704904994
120,0.24939928337370607,-0.7770149944165435,-0.9956614172749066,0.2186464228583631,-5.869904212270181,-2.075214789725874,3.794689422544307,80.37892756027122,71.28868591243913,9.090241647832087
121,0.2514950756709641,-0.7891396498130565,-0.9998540741822168,0.21071442436916032,-5.700134786584885,-1.925180753434933,3.7749540331499514,81.62496833751463,71.887750499935,9.737217837579635
122,0.2535908679682221,-0.8009057931836285,-1.0037309752626633,0.20282518207903477,-5.527791110550794,-1.7738912021959332,3.7538999083548608,82.8354267794236,72.48681508742386,10.348611691999736
123,0.25568666026548015,-0.8123081079714619,-1.007289489217689,0.194981381246227,-5.352948317536724,-1.6213461360089518,3.731602181527772,84.00977092985453,73.08587967491677,10.923891254937757
124,0.2577824525627382,-0.8233414362403949,-1.0105269847487366,0.18718554850834168,-5.175682639201994,-1.4675455548738967,3.708137084328097,85.14748469231513,73.68494426243164,11.46254042988349
125,0.2598782448599962,-0.834000780941692,-1.0134408305572489,0.17944004961555682,-4.9960713720191485,-1.3124894587907678,3.6835819132283807,86.24806805664552,74.2840088499212,11.964059206724329
126,0.26197403715725426,-0.84428130811018,-1.0160283953446687,0.17174708723448873,-4.8141928433289785,-1.1561778477596714,3.658014995569307,87.3110373186339,74.8830734374234,12.427963881210488
127,0.2640698294545123,-0.854178348988768,-1.018287047812439,0.16410869882367107,-4.630126376942728,-0.9986107217804481,3.6315156551622803,88.3359252924704,75.48213802495093,12.853787267519479
128,0.26616562175177033,-0.8636874020804122,-1.0202141566620022,0.15652675458159004,-4.4439522583066715,-0.8397880808531512,3.6041641774535202,89.32228151594587,76.08120261242784,13.24107890351803
129,0.26826141404902837,-0.8728041351266296,-1.0218070905948013,0.14900295546817177,-4.255751699244288,-0.6797099249779395,3.576041774266349,90.2696724483051,76.68026719990479,13.589405248400311
130,0.2703572063462864,-0.8815243870116891,-1.0230632183122794,0.1415388313005903,-4.065606802291572,-0.518376254154654,3.5472305481369175,91.17768166066811,77.2793317874323,13.898349873235816
131,0.27245299864354444,-0.8898441695916439,-1.023979908515879,0.13413573892423503,-3.8736005246411107,-0.355787068383242,3.5178134562578687,92.04591001893549,77.8783963749345,14.16751364400099
132,0.2745487909408025,-0.8977596694474018,-1.0245545299070427,0.12679486045964083,-3.679816641710763,-0.19194236766386216,3.487874274046901,92.87397585909751,78.47746096242408,14.396514896673438
133,0.2766445832380605,-0.9052672495610652,-1.0247844511872137,0.11951720162614854,-3.4843397103529794,-0.026842151996408634,3.457497558356571,93.66151515487027,79.07652554991367,14.584989604956604
134,0.27874037553531855,-0.9123634509147995,-1.0246670410578345,0.11230359014303493,-3.287255031720896,0.13951357861901265,3.426768610339909,94.4081816775847,79.67559013739061,14.732591540194079
135,0.2808361678325766,-0.9190449940115359,-1.0241996682203485,0.10515467420881253,-3.0886486138074782,0.3071248241824546,3.395773437989933,95.11364714825893,80.27465472493074,14.838992423328193
136,0.2829319601298346,-0.9253087803168315,-1.0233797013761978,0.09807092105936632,-2.888607133674245,0.4759915846941293,3.364598718368374,95.77760138178661,80.8737193124456,14.903882069341009
137,0.28502775242709266,-0.9311518936212602,-1.0222045092268253,0.0910526156055651,-2.687217899386101,0.6461138601537186,3.3333317595398197,96.39975242317807,81.47278389992253,14.926968523255539
138,0.2871235447243507,-0.9365716013227328,-1.0206714604736742,0.08409985915094143,-2.4845688116690128,0.8174916505613817,3.3020604622303944,96.9798266757946,82.0718484874279,14.907978188366698
139,0.28921933702160874,-0.9415653556281836,-1.0187779238181867,0.0772125681900031,-2.280748325307397,0.9901249559170787,3.2708732812244756,97.51756902151931,82.67091307490647,14.846655946612842
140,0.2913151293188667,-0.9461307946740971,-1.0165212679618063,0.0703904732877092,-2.0758454102981103,1.1640137762207325,3.239859186518843,98.01274293281205,83.26997766238925,14.742765270422794
141,0.29341092161612475,-0.9502657435653801,-1.0138988616059754,0.06363311804059535,-1.8699495127781678,1.3391581114724425,3.2091076242506102,98.46513057659892,83.86904224992774,14.596088326671179
142,0.2955067139133828,-0.9539682153321243,-1.0109080734521372,0.0569398581200129,-1.6631505157433455,1.5155579616723474,3.178708477415693,98.87453290995069,84.46810683744627,14.406426072504416
143,0.2976025062106408,-0.9572364118038407,-1.0075462722017334,0.05030986039789276,-1.4555386995748623,1.69321332682022,3.1487520263950826,99.2407697675087,85.06717142489795,14.173598342610745
144,0.29969829850789886,-0.9600687244007776,-1.0038108265562082,0.04374210215543062,-1.247204702391557,1.8721242069160076,3.1193289093075647,99.56367994061877,85.66623601240012,13.89744392821865
145,0.3017940908051569,-0.9624637348419807,-0.9996991052170037,0.037235370375023,-1.0382394802448918,2.0522906019599745,3.0905300822048662,99.84312124813965,86.26530059993397,13.577820648205687
146,0.30388988310241494,-0.964420215769777,-0.9952084768855627,0.030788261115785698,-0.8287342671743458,2.233712511951989,3.0624467791263346,100.07897059889379,86.86436518742357,13.214605411470217
147,0.305985675399673,-0.965937131290415,-0.9903363102633279,0.024399178972912883,-0.6187805351407067,2.4163899368919974,3.0351704720327044,100.27112404573354,87.46342977491312,12.80769427082042
148,0.308081467696931,-0.9670136374306202,-0.9850799740517425,0.018066336621122336,-0.40846995385481927,2.6003228767800532,3.0087928306348726,100.41949683119925,88.0624943624153,12.35700246878396
149,0.31017725999418905,-0.9676490825098638,-0.9794368369522489,0.011787754442385112,-0.1978943505195158,2.785511331616156,2.983405682135672,100.52402342474842,88.66147776282507,11.862545661923349
150,0.3122730522914471,-0.9678430074281871,-0.9734042676662903,0.005561260238103216,0.012854330497651556,2.9719549610977403,2.959100630600089,100.58465755154053,89.15256359962127,11.432093951919256
